State_Name,year,month,day,statefips,freq,Date,DeltaNewCases,DeltaNewDeaths,Week_Count,Restricted,Restricted_2_weeks,Restrictions_longer_3weeks,Restricted_indoor_dining,dataobsID
Alabama,2020,9,20,1,d,9/20/2020,-0.121359223,-0.243975904,1,0,0,0,0,9201
Alaska,2020,9,20,2,d,9/20/2020,0,-0.800204918,1,0,0,0,0,9202
Arizona,2020,9,20,4,d,9/20/2020,0.35,-0.159891599,1,0,0,0,0,9204
Arkansas,2020,9,20,5,d,9/20/2020,0.0875,0.817658349,1,0,0,0,0,9205
California,2020,9,20,6,d,9/20/2020,-0.268032787,-0.199300699,1,0,0,0,0,9206
Colorado,2020,9,20,8,d,9/20/2020,0.708015267,-0.171658986,1,0,0,0,0,9208
Connecticut,2020,9,20,9,d,9/20/2020,0.378223496,3.008333333,1,0,0,0,0,9209
Delaware,2020,9,20,10,d,9/20/2020,0.019417476,0.198910082,1,0,0,0,0,92010
Florida,2020,9,20,12,d,9/20/2020,-0.206060606,-0.057613169,1,0,0,0,0,92012
Georgia,2020,9,20,13,d,9/20/2020,-0.181818182,-0.378521127,1,0,0,0,0,92013
Hawaii,2020,9,20,15,d,9/20/2020,-0.520915033,-0.045045045,1,0,0,0,0,92015
Idaho,2020,9,20,16,d,9/20/2020,0.031055901,0,1,0,0,0,0,92016
Illinois,2020,9,20,17,d,9/20/2020,-0.209677419,-0.142857143,1,0,0,0,0,92017
Indiana,2020,9,20,18,d,9/20/2020,-0.129496403,-0.070967742,1,0,0,0,0,92018
Iowa,2020,9,20,19,d,9/20/2020,0.023622047,-0.167346939,1,0,0,0,0,92019
Kansas,2020,9,20,20,d,9/20/2020,-0.02955665,0.845679012,1,0,0,0,0,92020
Kentucky,2020,9,20,21,d,9/20/2020,-0.197916667,-0.5390625,1,0,0,0,0,92021
Louisiana,2020,9,20,22,d,9/20/2020,-0.25625,-0.190763052,1,0,0,0,0,92022
Maine,2020,9,20,23,d,9/20/2020,0.270718232,0.497652582,1,0,0,0,0,92023
Maryland,2020,9,20,24,d,9/20/2020,-0.051485149,-0.127027027,1,0,0,0,0,92024
Massachusetts,2020,9,20,25,d,9/20/2020,0.110453649,0.310126582,1,0,0,0,0,92025
Michigan,2020,9,20,26,d,9/20/2020,0.077151335,0,1,0,0,0,0,92026
Minnesota,2020,9,20,27,d,9/20/2020,0.058394161,0.054054054,1,0,0,0,0,92027
Mississippi,2020,9,20,28,d,9/20/2020,-0.168316832,-0.209912536,1,0,0,0,0,92028
Missouri,2020,9,20,29,d,9/20/2020,0.061403509,-0.321799308,1,0,0,0,0,92029
