State_name,year,month,day_endofweek,statefips,Date,DeltaNewCases,DeltaNewDeaths,Day_Count,Restricted,Restricted_2_weeks,Restrictions_longer_3weeks,Restricted_indoor_dining,dataobsID
Alabama,2020,9,19,1,9/19/2020,-0.177489177,-0.293296089,21,0,0,0,0,9191
Alaska,2020,9,19,2,9/19/2020,0.019417476,-0.800204918,21,0,0,0,0,9192
Arizona,2020,9,19,4,9/19/2020,0.284848485,-0.214470284,21,0,0,0,0,9194
Arkansas,2020,9,19,5,9/19/2020,0.126637555,0.919385797,21,0,0,0,0,9195
California,2020,9,19,6,9/19/2020,-0.2912,-0.14137931,21,0,0,0,0,9196
Colorado,2020,9,19,8,9/19/2020,0.661386139,-0.124685139,21,0,0,0,0,9198
Connecticut,2020,9,19,9,9/19/2020,0.378223496,3.008333333,21,0,0,0,0,9199
Delaware,2020,9,19,10,9/19/2020,0.329987453,0.99318569,21,0,0,0,0,91910
District Of Columbia,2020,9,19,11,9/19/2020,0.116719243,-0.498347107,21,0,0,0,0,91911
Florida,2020,9,19,12,9/19/2020,-0.206060606,-0.027659574,21,0,0,0,0,91912
Georgia,2020,9,19,13,9/19/2020,-0.131868132,-0.216730038,21,0,0,0,0,91913
Hawaii,2020,9,19,15,9/19/2020,-0.510828025,0.045045045,21,0,0,0,0,91915
Idaho,2020,9,19,16,9/19/2020,0.01242236,-0.074074074,21,0,0,0,0,91916
Illinois,2020,9,19,17,9/19/2020,-0.233160622,-0.162303665,21,0,0,0,0,91917
Indiana,2020,9,19,18,9/19/2020,-0.057142857,-0.141104294,21,0,0,0,0,91918
Iowa,2020,9,19,19,9/19/2020,-0.045283019,-0.144578313,21,0,0,0,0,91919
Kansas,2020,9,19,20,9/19/2020,-0.02955665,0.907407407,21,0,0,0,0,91920
Kentucky,2020,9,19,21,9/19/2020,-0.2,-0.534351145,21,0,0,0,0,91921
Louisiana,2020,9,19,22,9/19/2020,-0.22754491,0.052109181,21,0,0,0,0,91922
Maine,2020,9,19,23,9/19/2020,0.132275132,0.995305164,21,0,0,0,0,91923
Maryland,2020,9,19,24,9/19/2020,-0.019607843,-0.199152542,21,0,0,0,0,91924
Massachusetts,2020,9,19,25,9/19/2020,0.158898305,0.234939759,21,0,0,0,0,91925
Michigan,2020,9,19,26,9/19/2020,-0.0202977,-0.064261556,21,0,0,0,0,91926
Minnesota,2020,9,19,27,9/19/2020,-0.090909091,0.425742574,21,0,0,0,0,91927
Mississippi,2020,9,19,28,9/19/2020,-0.224299065,-0.127565982,21,0,0,0,0,91928
Missouri,2020,9,19,29,9/19/2020,0.0969163,-0.104477612,21,0,0,0,0,91929
Montana,2020,9,19,30,9/19/2020,0.357723577,0.8375,21,0,0,0,0,91930
Nebraska,2020,9,19,31,9/19/2020,0.309210526,-0.467567568,21,0,0,0,0,91931
Nevada,2020,9,19,32,9/19/2020,-0.140495868,-0.138613861,21,0,0,0,0,91932
New Jersey,2020,9,19,34,9/19/2020,0.222506394,-0.288277512,21,0,0,0,0,91934
New Mexico,2020,9,19,35,9/19/2020,-0.021922428,-0.161137441,21,0,0,0,0,91935
New York,2020,9,19,36,9/19/2020,0.005063291,-0.052505967,21,0,0,0,0,91936
North Carolina,2020,9,19,37,9/19/2020,-0.201388889,-0.086021505,21,0,0,0,0,91937
North Dakota,2020,9,19,38,9/19/2020,0.325648415,0.790076336,21,0,0,0,0,91938
Ohio,2020,9,19,39,9/19/2020,-0.17184466,0.547169811,21,0,0,0,0,91939
Oklahoma,2020,9,19,40,9/19/2020,0.222748815,-0.167539267,21,0,0,0,0,91940
Oregon,2020,9,19,41,9/19/2020,-0.077358491,0,21,0,0,0,0,91941
Pennsylvania,2020,9,19,42,9/19/2020,-0.017214397,0.166666667,21,0,0,0,0,91942
Rhode Island,2020,9,19,44,9/19/2020,0.276821192,0.892561983,21,0,0,0,0,91944
South Carolina,2020,9,19,45,9/19/2020,0.030769231,-0.173038229,21,0,0,0,0,91945
South Dakota,2020,9,19,46,9/19/2020,0.031847134,1.837977296,21,0,0,0,0,91946
Tennessee,2020,9,19,47,9/19/2020,-0.009049774,0.107266436,21,0,0,0,0,91947
Texas,2020,9,19,48,9/19/2020,0.055172414,-0.20131291,21,0,0,0,0,91948
Utah,2020,9,19,49,9/19/2020,0.953125,-0.538860104,21,0,0,0,0,91949
Virginia,2020,9,19,51,9/19/2020,-0.034482759,1.467032967,21,0,0,0,0,91951
Washington,2020,9,19,53,9/19/2020,-0.045217391,0.020255864,21,0,0,0,0,91953
West Virginia,2020,9,19,54,9/19/2020,0.028571429,0.388663968,21,0,0,0,0,91954
Wisconsin,2020,9,19,55,9/19/2020,1.177304965,-0.355084746,21,0,0,0,0,91955
Wyoming,2020,9,19,56,9/19/2020,1.171532847,0.406504065,21,0,0,0,0,91956
Alabama,2020,9,26,1,9/26/2020,0.270588235,-0.150684932,28,0,0,0,0,9261
Alaska,2020,9,26,2,9/26/2020,0.128440367,1.992327366,28,0,0,0,0,9262
Arizona,2020,9,26,4,9/26/2020,0.255859375,0.392523364,28,0,0,0,0,9264
Arkansas,2020,9,26,5,9/26/2020,0.25,0.194174757,28,0,0,0,0,9265
California,2020,9,26,6,9/26/2020,0.027058824,-0.097345133,28,0,0,0,0,9266
Colorado,2020,9,26,8,9/26/2020,1.194616977,0.561712846,28,0,0,0,0,9268
Connecticut,2020,9,26,9,9/26/2020,0.103896104,-0.249480249,28,0,0,0,0,9269
Delaware,2020,9,26,10,9/26/2020,-0.147540984,1.397820163,28,0,0,0,0,92610
District Of Columbia,2020,9,26,11,9/26/2020,-0.003144654,0,28,0,0,0,0,92611
Florida,2020,9,26,12,9/26/2020,-0.016949153,-0.068571429,28,0,0,0,0,92612
Georgia,2020,9,26,13,9/26/2020,-0.140939597,0.019704433,28,0,0,0,0,92613
Hawaii,2020,9,26,15,9/26/2020,-0.3125,-0.152671756,28,0,0,0,0,92615
Idaho,2020,9,26,16,9/26/2020,0.639705882,-0.366666667,28,0,0,0,0,92616
Illinois,2020,9,26,17,9/26/2020,0.132352941,0.125786164,28,0,0,0,0,92617
Indiana,2020,9,26,18,9/26/2020,0.024793388,-0.012578616,28,0,0,0,0,92618
Iowa,2020,9,26,19,9/26/2020,0.357843137,-0.075,28,0,0,0,0,92619
Kansas,2020,9,26,20,9/26/2020,0.323170732,-0.256,28,0,0,0,0,92620
Kentucky,2020,9,26,21,9/26/2020,0.195488722,-0.274881517,28,0,0,0,0,92621
Louisiana,2020,9,26,22,9/26/2020,-0.191780822,-0.376218324,28,0,0,0,0,92622
Maine,2020,9,26,23,9/26/2020,0.350282486,0,28,0,0,0,0,92623
Maryland,2020,9,26,24,9/26/2020,-0.145903479,0.227513228,28,0,0,0,0,92624
Massachusetts,2020,9,26,25,9/26/2020,0.224279835,0.198795181,28,0,0,0,0,92625
Michigan,2020,9,26,26,9/26/2020,0.082224909,-0.278911565,28,0,0,0,0,92626
Minnesota,2020,9,26,27,9/26/2020,0.874334398,-0.251798561,28,0,0,0,0,92627
Mississippi,2020,9,26,28,9/26/2020,0.139072848,-0.120287253,28,0,0,0,0,92628
Missouri,2020,9,26,29,9/26/2020,0.188073394,1.88372093,28,0,0,0,0,92629
Montana,2020,9,26,30,9/26/2020,1.27184466,-0.170124481,28,0,0,0,0,92630
Nebraska,2020,9,26,31,9/26/2020,0.217647059,-0.207171315,28,0,0,0,0,92631
Nevada,2020,9,26,32,9/26/2020,0.392016377,-0.126712329,28,0,0,0,0,92632
New Hampshire,2020,9,26,33,9/26/2020,-0.120833333,-0.666666667,28,0,0,0,0,92633
New Jersey,2020,9,26,34,9/26/2020,0.363636364,-0.072485207,28,0,0,0,0,92634
New Mexico,2020,9,26,35,9/26/2020,0.923444976,0.097902098,28,0,0,0,0,92635
New York,2020,9,26,36,9/26/2020,0.179775281,-0.26035503,28,0,0,0,0,92636
North Carolina,2020,9,26,37,9/26/2020,0.657657658,0.23853211,28,0,0,0,0,92637
North Dakota,2020,9,26,38,9/26/2020,0.529411765,2.184466019,28,0,0,0,0,92638
Ohio,2020,9,26,39,9/26/2020,-0.047044632,-0.174603175,28,0,0,0,0,92639
Oklahoma,2020,9,26,40,9/26/2020,0.404040404,0.242937853,28,0,0,0,0,92640
Oregon,2020,9,26,41,9/26/2020,0.525,-0.0436457,28,0,0,0,0,92641
Pennsylvania,2020,9,26,42,9/26/2020,0.063865546,0.908045977,28,0,0,0,0,92642
Rhode Island,2020,9,26,44,9/26/2020,-0.152295633,0.185185185,28,0,0,0,0,92644
South Carolina,2020,9,26,45,9/26/2020,0.411392405,-0.170353982,28,0,0,0,0,92645
South Dakota,2020,9,26,46,9/26/2020,0.736,0.807453416,28,0,0,0,0,92646
Tennessee,2020,9,26,47,9/26/2020,0.060773481,-0.238770686,28,0,0,0,0,92647
Texas,2020,9,26,48,9/26/2020,1.098214286,-0.078431373,28,0,0,0,0,92648
Utah,2020,9,26,49,9/26/2020,1.284615385,-0.385146805,28,0,0,0,0,92649
Virginia,2020,9,26,51,9/26/2020,-0.204132231,2.426294821,28,0,0,0,0,92651
Washington,2020,9,26,53,9/26/2020,0.18641115,0.786743516,28,0,0,0,0,92653
West Virginia,2020,9,26,54,9/26/2020,0.038696538,0.091428571,28,0,0,0,0,92654
Wisconsin,2020,9,26,55,9/26/2020,0.930107527,0.01980198,28,0,0,0,0,92655
Alabama,2020,10,3,1,10/3/2020,0.042105263,-0.343873518,35,0,0,0,0,1031
Alaska,2020,10,3,2,10/3/2020,0.60952381,5,35,0,0,0,0,1032
Arizona,2020,10,3,4,10/3/2020,-0.337735849,-0.470394737,35,0,0,0,0,1034
Arkansas,2020,10,3,5,10/3/2020,0.058139535,-0.422,35,0,0,0,0,1035
California,2020,10,3,6,10/3/2020,-0.090293454,-0.224899598,35,0,0,0,0,1036
Colorado,2020,10,3,8,10/3/2020,0.169249106,-0.143884892,35,0,0,0,0,1038
Connecticut,2020,10,3,9,10/3/2020,0.424116424,0,35,0,0,0,0,1039
Delaware,2020,10,3,10,10/3/2020,0.339622642,0.504273504,35,0,0,0,0,10310
District Of Columbia,2020,10,3,11,10/3/2020,-0.262711864,0.663920923,35,0,0,0,0,10311
Florida,2020,10,3,12,10/3/2020,-0.190839695,-0.118161926,35,0,0,0,0,10312
Georgia,2020,10,3,13,10/3/2020,-0.284810127,-0.300970874,35,0,0,0,0,10313
Hawaii,2020,10,3,15,10/3/2020,-0.053385417,-0.043103448,35,0,0,0,0,10315
Idaho,2020,10,3,16,10/3/2020,0.613496933,-0.2,35,0,0,0,0,10316
Illinois,2020,10,3,17,10/3/2020,0.074324324,0.3125,35,0,0,0,0,10317
Indiana,2020,10,3,18,10/3/2020,0.21969697,0.392857143,35,0,0,0,0,10318
Iowa,2020,10,3,19,10/3/2020,0.146245059,0.422535211,35,0,0,0,0,10319
Kansas,2020,10,3,20,10/3/2020,0.14213198,0.01618123,35,0,0,0,0,10320
Kentucky,2020,10,3,21,10/3/2020,0.134615385,0.418032787,35,0,0,0,0,10321
Louisiana,2020,10,3,22,10/3/2020,-0.124031008,-0.268867925,35,0,0,0,0,10322
Maine,2020,10,3,23,10/3/2020,0.121495327,-0.498823529,35,0,0,0,0,10323
Maryland,2020,10,3,24,10/3/2020,-0.086,-0.2,35,0,0,0,0,10324
Massachusetts,2020,10,3,25,10/3/2020,0.610603291,0.170731707,35,0,0,0,0,10325
Michigan,2020,10,3,26,10/3/2020,0.356353591,0.397590361,35,0,0,0,0,10326
Minnesota,2020,10,3,27,10/3/2020,0.392307692,0.229166667,35,0,0,0,0,10327
Mississippi,2020,10,3,28,10/3/2020,0.012048193,-0.193277311,35,0,0,0,0,10328
Missouri,2020,10,3,29,10/3/2020,-0.076305221,-0.0125,35,0,0,0,0,10329
Montana,2020,10,3,30,10/3/2020,1.035928144,-0.319727891,35,0,0,0,0,10330
Nebraska,2020,10,3,31,10/3/2020,0.412060302,1.368866328,35,0,0,0,0,10331
Nevada,2020,10,3,32,10/3/2020,0.5,-0.465517241,35,0,0,0,0,10332
New Hampshire,2020,10,3,33,10/3/2020,0.773049645,0,35,0,0,0,0,10333
New Jersey,2020,10,3,34,10/3/2020,0.587866109,-0.134453782,35,0,0,0,0,10334
New Mexico,2020,10,3,35,10/3/2020,0.879310345,-0.231638418,35,0,0,0,0,10335
New York,2020,10,3,36,10/3/2020,0.591939547,0.498740554,35,0,0,0,0,10336
North Carolina,2020,10,3,37,10/3/2020,0.27826087,0.007843137,35,0,0,0,0,10337
North Dakota,2020,10,3,38,10/3/2020,0.12173913,0.759061834,35,0,0,0,0,10338
Ohio,2020,10,3,39,10/3/2020,0.13950762,-0.081300813,35,0,0,0,0,10339
Oklahoma,2020,10,3,40,10/3/2020,0.011627907,0.06918239,35,0,0,0,0,10340
Oregon,2020,10,3,41,10/3/2020,0.337423313,0.045637584,35,0,0,0,0,10341
Pennsylvania,2020,10,3,42,10/3/2020,0.125796178,-0.166666667,35,0,0,0,0,10342
Rhode Island,2020,10,3,44,10/3/2020,0.255186722,-0.35371179,35,0,0,0,0,10344
South Carolina,2020,10,3,45,10/3/2020,-0.223880597,-0.197080292,35,0,0,0,0,10345
South Dakota,2020,10,3,46,10/3/2020,0.422839506,0.76,35,0,0,0,0,10346
Tennessee,2020,10,3,47,10/3/2020,-0.173515982,0.221875,35,0,0,0,0,10347
Texas,2020,10,3,48,10/3/2020,0.117647059,-0.126027397,35,0,0,0,0,10348
Utah,2020,10,3,49,10/3/2020,0.188,3.68164794,35,0,0,0,0,10349
Virginia,2020,10,3,51,10/3/2020,-0.19375,-0.530066815,35,0,0,0,0,10351
Washington,2020,10,3,53,10/3/2020,0.245901639,-0.176593521,35,0,0,0,0,10353
West Virginia,2020,10,3,54,10/3/2020,-0.037037037,-0.419825073,35,0,0,0,0,10354
Wisconsin,2020,10,3,55,10/3/2020,0.42019544,1.96977661,35,0,0,0,0,10355
Wyoming,2020,10,3,56,10/3/2020,0.865546218,-0.571676301,35,0,0,0,0,10356
Alabama,2020,10,10,1,10/10/2020,-0.171296296,0.661290323,42,0,0,0,0,10101
Alaska,2020,10,10,2,10/10/2020,0.967479675,-0.665811966,42,0,0,0,0,10102
Arizona,2020,10,10,4,10/10/2020,0.398133748,-0.644295302,42,0,0,0,0,10104
Arkansas,2020,10,10,5,10/10/2020,0.018867925,0.394308943,42,0,0,0,0,10105
California,2020,10,10,6,10/10/2020,-0.054982818,-0.210784314,42,0,0,0,0,10106
Colorado,2020,10,10,8,10/10/2020,0.198113208,1,42,0,0,0,0,10108
Connecticut,2020,10,10,9,10/10/2020,0.642352941,0.886426593,42,0,0,0,0,10109
Delaware,2020,10,10,10,10/10/2020,0.230769231,-0.335227273,42,0,0,0,0,101010
District Of Columbia,2020,10,10,11,10/10/2020,0.421135647,0.405940594,42,0,0,0,0,101011
Florida,2020,10,10,12,10/10/2020,-0.178448276,-0.241308793,42,0,0,0,0,101012
Georgia,2020,10,10,13,10/10/2020,2.09375,-0.183574879,42,0,0,0,0,101013
Hawaii,2020,10,10,15,10/10/2020,-0.08951049,0.36036036,42,0,0,0,0,101015
Idaho,2020,10,10,16,10/10/2020,0.515695067,0.473684211,42,0,0,0,0,101016
Illinois,2020,10,10,17,10/10/2020,0.207792208,0.273743017,42,0,0,0,0,101017
Indiana,2020,10,10,18,10/10/2020,0.60483871,0.52866242,42,0,0,0,0,101018
Iowa,2020,10,10,19,10/10/2020,0.111913357,0.612612613,42,0,0,0,0,101019
Kansas,2020,10,10,20,10/10/2020,0.073732719,0.844086022,42,0,0,0,0,101020
Kentucky,2020,10,10,21,10/10/2020,0.220125786,0.130718954,42,0,0,0,0,101021
Louisiana,2020,10,10,22,10/10/2020,0.194915254,-0.134375,42,0,0,0,0,101022
Maine,2020,10,10,23,10/10/2020,-0.066945607,0,42,0,0,0,0,101023
Maryland,2020,10,10,24,10/10/2020,0.23390276,-0.225862069,42,0,0,0,0,101024
Massachusetts,2020,10,10,25,10/10/2020,0.406722689,-0.165829146,42,0,0,0,0,101025
Michigan,2020,10,10,26,10/10/2020,0.30726257,0.29245283,42,0,0,0,0,101026
